song_id,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity
39LRXm8xZ3DP2W37sl1NDj,Are We There Yet,0.711,0.581,5,-5.851,0,0.0583,0.0153,0,0.236,0.621,124.028,210827,4,43
24LS4lQShWyixJ0ZrJXfJ5,Sweet Nothing (feat. Florence Welch),0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4,73
412luShbmlgqqgYFStIB1s,Wish You Were Mine - Radio Edit,0.654,0.832,7,-4.164,0,0.0293,0.0126,0.0901,0.102,0.407,123.002,177561,4,66
1839RWzPRZCVgvamu4sHSN,All My Love (feat. Conor Maynard),0.59,0.871,11,-3.353,0,0.0891,0.148,0,0.0739,0.304,134.956,191331,4,60
7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4,85
4sK96UnGx3NjBaqvfTG2dm,Too Close,0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,256560,4,59
49ziHtycEUnbFQtE8e8slt,Jackie Chan,0.742,0.838,3,-2.758,0,0.0476,0.339,0,0.0595,0.694,128.022,215676,4,53
7FESgYLcOufHqKlwrvJN60,Feel It Still,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,163251,4,62
7E12QRk94o3DBLzkySXFqn,Creatures Of The Night,0.388,0.759,5,-5.293,1,0.274,0.344,0,0.114,0.286,75.085,180800,4,50
6ayTAnEwP3Yo4DOjLsN5r2,Hola (feat. Maluma),0.757,0.711,8,-5.693,1,0.0769,0.0207,3.04e-05,0.11,0.649,113.026,192377,4,57
46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,227074,4,76
1wv65oTk6ezLpMYLaVeSeT,Say Hi,0.321,0.675,11,-4.791,0,0.0638,0.0184,0,0.159,0.274,82.307,207143,4,49
55S2PQgSMYAhgoTCcGCDfw,Youngblood,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4,74
6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,225850,4,60
1YMBg7rOjxzbya0fPOYfNX,A Different Way (with Lauv),0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,198286,4,66
3AGOgQzp0YcPH41u9p7dOp,Glad You Came,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,126.889,198187,4,70
5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,174800,4,79
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,227267,4,79
